Call Id;VIP;Time of Day;Topic;Answered (Y/N);Resolved;Hold Time;Call Time;Satisfaction rating;missing values;Repeat Call
C0001;0;Morning;Loyalty Program;Y;Y;169;277;4;0;N
C0002;0;Evening;Loyalty Program;N;N;-1;-1;-1;1;N
C0003;0;Evening;Business Related;Y;Y;134;358;4;0;N
C0004;1;Afternoon;Loyalty Program;Y;N;53;345;3;0;N
C0005;0;Evening;Business Related;Y;Y;170;360;3;0;Y
C0006;0;Evening;Business Related;Y;Y;156;226;5;0;Y
C0007;0;Morning;Technical Support;Y;Y;73;267;1;0;N
C0008;0;Evening;Technical Support;Y;Y;220;290;3;0;N
C0009;1;Morning;Technical Support;Y;Y;255;325;1;0;Y
C0010;0;Morning;Loyalty Program;Y;N;174;244;4;0;N
C0011;0;Afternoon;Loyalty Program;Y;Y;278;348;1;0;N
C0012;0;Afternoon;Loyalty Program;Y;Y;68;171;3;0;N
C0013;1;Evening;Loyalty Program;Y;Y;171;240;4;0;N
C0014;0;Morning;Others;Y;Y;150;211;1;0;Y
C0015;0;Evening;Loyalty Program;Y;Y;91;161;4;0;N
C0016;0;Afternoon;Loyalty Program;Y;Y;215;285;2;0;N
C0017;0;Morning;Business Related;N;N;-1;-1;-1;1;N
C0018;0;Morning;Others;Y;Y;80;150;1;0;Y
C0019;1;Evening;Others;N;N;-1;-1;-1;1;N
C0020;0;Afternoon;Others;Y;Y;148;232;5;0;Y
C0021;0;Evening;Technical Support;Y;Y;117;357;4;0;Y
C0022;0;Afternoon;Business Related;Y;Y;91;173;1;0;N
C0023;0;Afternoon;Loyalty Program;Y;Y;71;138;3;0;N
C0024;0;Afternoon;Business Related;Y;Y;160;230;5;0;N
C0025;0;Morning;Technical Support;Y;Y;90;210;4;0;N
C0026;0;Morning;Loyalty Program;Y;Y;271;341;5;0;Y
C0027;0;Morning;Loyalty Program;Y;Y;55;168;1;0;N
C0028;0;Evening;Loyalty Program;Y;Y;129;316;5;0;N
C0029;0;Evening;Others;Y;Y;293;363;5;0;N
C0030;0;Afternoon;Loyalty Program;N;N;-1;-1;-1;1;Y
C0031;0;Evening;Technical Support;Y;Y;276;346;3;0;N
C0032;0;Afternoon;Loyalty Program;Y;Y;284;354;3;0;N
C0033;1;Morning;Loyalty Program;Y;Y;88;214;2;0;N
C0034;0;Evening;Loyalty Program;Y;N;174;244;5;0;N
C0035;1;Afternoon;Loyalty Program;Y;Y;137;215;1;0;N
C0036;0;Morning;Others;Y;Y;57;164;1;0;N
C0037;0;Afternoon;Business Related;Y;Y;213;298;1;0;Y
C0038;0;Evening;Business Related;Y;Y;109;179;4;0;N
C0039;0;Morning;Others;Y;N;102;169;4;0;N
C0040;1;Morning;Business Related;Y;Y;181;251;5;0;N
C0041;0;Morning;Technical Support;Y;Y;141;211;5;0;Y
C0042;0;Evening;Loyalty Program;Y;N;117;320;4;0;Y
C0043;0;Evening;Others;Y;Y;155;225;5;0;Y
C0044;0;Evening;Business Related;Y;Y;280;350;5;0;N
C0045;0;Evening;Others;Y;Y;160;230;4;0;N
C0046;0;Evening;Technical Support;Y;Y;193;263;1;0;N
C0047;0;Afternoon;Technical Support;Y;Y;176;315;2;0;N
C0048;0;Morning;Others;Y;Y;104;174;4;0;N
C0049;1;Morning;Business Related;Y;Y;181;251;5;0;N
C0050;0;Afternoon;Others;Y;N;292;362;2;0;N
C0051;0;Afternoon;Others;Y;Y;75;296;4;0;Y
C0052;0;Morning;Technical Support;Y;N;213;288;1;0;Y
C0053;0;Evening;Technical Support;Y;Y;112;265;5;0;N
C0054;0;Evening;Business Related;Y;Y;276;346;1;0;Y
C0055;1;Afternoon;Business Related;Y;Y;155;270;4;0;N
C0056;0;Morning;Loyalty Program;Y;N;219;289;1;0;N
C0057;0;Evening;Loyalty Program;Y;Y;153;359;2;0;N
C0058;0;Morning;Loyalty Program;Y;N;202;272;2;0;N
C0059;1;Morning;Loyalty Program;N;N;-1;-1;-1;1;Y
C0060;0;Morning;Technical Support;Y;Y;204;274;5;0;N
C0061;0;Morning;Loyalty Program;Y;Y;283;353;4;0;N
C0062;0;Evening;Technical Support;Y;Y;96;200;2;0;Y
C0063;1;Afternoon;Business Related;Y;Y;135;322;4;0;N
C0064;0;Evening;Technical Support;Y;Y;54;173;3;0;N
C0065;0;Afternoon;Technical Support;Y;Y;64;134;3;0;N
C0066;0;Afternoon;Technical Support;Y;Y;263;333;2;0;N
C0067;0;Afternoon;Technical Support;Y;Y;61;247;3;0;N
C0068;0;Afternoon;Others;Y;N;217;287;5;0;Y
C0069;0;Morning;Business Related;Y;Y;235;305;1;0;N
C0070;0;Afternoon;Loyalty Program;Y;Y;221;338;3;0;Y
C0071;0;Morning;Business Related;Y;Y;259;329;3;0;Y
C0072;0;Evening;Others;Y;N;96;200;5;0;N
C0073;0;Evening;Business Related;Y;Y;271;341;5;0;N
C0074;0;Afternoon;Others;Y;Y;70;243;4;0;Y
C0075;0;Afternoon;Technical Support;Y;Y;70;237;3;0;N
C0076;0;Morning;Technical Support;Y;Y;195;265;1;0;N
